gvkey,conm,cik,tic,datadate,fyear,rcp,at,lag1_at,big1_rstr,big05_rstr
023702,PRIDE COMPANIES  -LP,0000859636,PRCU,12/31/2002,2002,-0.365,40.058,48.297,FALSE,TRUE
023714,COMMUNITY HEALTH SYSTEMS INC,0001108109,CYH,12/31/2017,2017,-14,17450,21944,FALSE,FALSE
023714,COMMUNITY HEALTH SYSTEMS INC,0001108109,CYH,12/31/2018,2018,-20,15859,17450,FALSE,FALSE
023714,COMMUNITY HEALTH SYSTEMS INC,0001108109,CYH,12/31/2019,2019,-2,15609,15859,FALSE,FALSE
023714,COMMUNITY HEALTH SYSTEMS INC,0001108109,CYH,12/31/2020,2020,-15,16006,15609,FALSE,FALSE
023714,COMMUNITY HEALTH SYSTEMS INC,0001108109,CYH,12/31/2022,2022,-6,14669,15217,FALSE,FALSE
023714,COMMUNITY HEALTH SYSTEMS INC,0001108109,CYH,12/31/2023,2023,-34,14455,14669,FALSE,FALSE
023753,DORMAN PRODUCTS INC,0000868780,DORM,12/31/2011,2011,-2.64,376.693,323.159,FALSE,TRUE
023753,DORMAN PRODUCTS INC,0000868780,DORM,12/31/2019,2019,-25.9,1041.072,887.557,TRUE,TRUE
023754,GREENSPACE BRANDS INC,0001729993,JTR.H,3/31/2017,2016,-0.191,45.7,30.82,FALSE,TRUE
023754,GREENSPACE BRANDS INC,0001729993,JTR.H,3/31/2018,2017,-0.9,89.347,45.7,TRUE,TRUE
023754,GREENSPACE BRANDS INC,0001729993,JTR.H,3/31/2019,2018,-1.473,64.905,89.347,TRUE,TRUE
023754,GREENSPACE BRANDS INC,0001729993,JTR.H,3/31/2020,2019,-0.195,31.095,64.905,FALSE,FALSE
023754,GREENSPACE BRANDS INC,0001729993,JTR.H,3/31/2021,2020,-0.413,22.423,31.095,TRUE,TRUE
023754,GREENSPACE BRANDS INC,0001729993,JTR.H,3/31/2022,2021,0.571,12.511,22.423,TRUE,TRUE
023767,ATMEL CORP,0000872448,ATML,12/31/2001,2001,-481.296,3024.197,3824.887,TRUE,TRUE
023767,ATMEL CORP,0000872448,ATML,12/31/2002,2002,-18.082,2302.559,3024.197,FALSE,TRUE
023767,ATMEL CORP,0000872448,ATML,12/31/2003,2003,0.36,2154.69,2302.559,FALSE,FALSE
023767,ATMEL CORP,0000872448,ATML,12/31/2005,2005,-18.209,1927.345,2323.523,FALSE,TRUE
023767,ATMEL CORP,0000872448,ATML,12/31/2006,2006,-38.763,1818.539,1927.345,TRUE,TRUE
023767,ATMEL CORP,0000872448,ATML,12/31/2007,2007,-13.239,1702.753,1818.539,FALSE,TRUE
023767,ATMEL CORP,0000872448,ATML,12/31/2008,2008,-71.324,1530.654,1702.753,TRUE,TRUE
023767,ATMEL CORP,0000872448,ATML,12/31/2009,2009,-6.681,1392.842,1530.654,FALSE,FALSE
023767,ATMEL CORP,0000872448,ATML,12/31/2010,2010,-5.253,1650.042,1392.842,FALSE,FALSE
023767,ATMEL CORP,0000872448,ATML,12/31/2011,2011,-20.064,1526.598,1650.042,TRUE,TRUE
023767,ATMEL CORP,0000872448,ATML,12/31/2012,2012,-23.986,1433.533,1526.598,TRUE,TRUE
023767,ATMEL CORP,0000872448,ATML,12/31/2013,2013,-50.026,1352.526,1433.533,TRUE,TRUE
023767,ATMEL CORP,0000872448,ATML,12/31/2014,2014,-13.882,1362.304,1352.526,TRUE,TRUE
023767,ATMEL CORP,0000872448,ATML,12/31/2015,2015,-4.595,1260.418,1362.304,FALSE,FALSE
023768,VIDLER WATER RESOURCES INC,0000830122,VWTR,12/31/2016,2016,-10.389,675.794,663.609,TRUE,TRUE
023768,VIDLER WATER RESOURCES INC,0000830122,VWTR,12/31/2018,2018,-0.748,180.211,214.402,FALSE,FALSE
023774,MAVERICK TUBE CORP,0000869087,MVK,12/31/2001,2001,-1.6,357.447,389.029,FALSE,FALSE
023774,MAVERICK TUBE CORP,0000869087,MVK,12/31/2002,2002,-1.186,595.883,357.447,FALSE,FALSE
023774,MAVERICK TUBE CORP,0000869087,MVK,12/31/2003,2003,-1.112,670.726,595.883,FALSE,FALSE
023777,FRONTSTEP INC,,FSTP,6/30/2001,2001,-15.156,72.593,94.368,TRUE,TRUE
023790,CRYO-CELL INTERNATIONAL INC,0000862692,CCEL,11/30/2011,2011,-0.95,19.467,18.162,TRUE,TRUE
023793,PS BUSINESS PARKS,0000866368,PSB,12/31/2020,2020,-1.687,2057.705,2046.443,FALSE,FALSE
